no,year-month,ntp value
1,2006-01,113.67
2,2006-02,113.10
3,2006-03,113.58
4,2006-04,112.26
5,2006-05,111.33
6,2006-06,112.86
7,2006-07,115.02
8,2006-08,117.55
9,2006-09,116.83
10,2006-10,116.98
11,2006-11,118.83
12,2006-12,123.81
13,2007-01,124.71
14,2007-02,125.64
15,2007-03,124.27
16,2007-04,113.51
17,2007-05,111.18
18,2007-06,112.82
19,2007-07,113.01
20,2007-08,114.31
21,2007-09,115.42
22,2007-10,115.63
23,2007-11,114.82
24,2007-12,116.02
25,2008-01,99.10
26,2008-02,97.90
27,2008-03,94.49
28,2008-04,92.85
29,2008-05,94.18
30,2008-06,95.82
31,2008-07,96.53
32,2008-08,96.95
33,2008-09,96.85
34,2008-10,96.01
35,2008-11,96.08
36,2008-12,96.94
37,2009-01,97.06
38,2009-02,97.33
39,2009-03,96.23
40,2009-04,96.25
41,2009-05,96.10
42,2009-06,96.37
43,2009-07,96.91
44,2009-08,97.79
45,2009-09,98.41
46,2009-10,98.23
47,2009-11,98.02
48,2009-12,97.79
49,2010-01,98.27
50,2010-02,98.04
51,2010-03,98.56
52,2010-04,97.55
53,2010-05,97.19
54,2010-06,97.99
55,2010-07,99.68
56,2010-08,99.84
57,2010-09,99.98
58,2010-10,101.27
59,2010-11,101.52
60,2010-12,101.46
61,2011-01,102.36
62,2011-02,102.50
63,2011-03,103.05
64,2011-04,103.10
65,2011-05,103.65
66,2011-06,104.30
67,2011-07,104.75
68,2011-08,105.59
69,2011-09,106.16
70,2011-10,107.31
71,2011-11,107.91
72,2011-12,108.17
73,2012-01,108.51
74,2012-02,108.03
75,2012-03,107.87
76,2012-04,107.23
77,2012-05,107.33
78,2012-06,108.36
79,2012-07,108.83
80,2012-08,109.05
81,2012-09,109.41
82,2012-10,110.26
83,2012-11,110.73
84,2012-12,111.55
85,2013-01,105.43
86,2013-02,104.59
87,2013-03,103.49
88,2013-04,102.95
89,2013-05,103.34
90,2013-06,103.56
91,2013-07,103.52
92,2013-08,102.94
93,2013-09,103.34
94,2013-10,104.27
95,2013-11,104.27
96,2013-12,104.03
97,2014-01,103.84
98,2014-02,104.15
99,2014-03,104.64
100,2014-04,103.79
101,2014-05,104.00
102,2014-06,104.23
103,2014-07,104.79
104,2014-08,104.20
105,2014-09,104.16
106,2014-10,105.04
107,2014-11,105.19
108,2014-12,105.16
109,2015-01,105.95
110,2015-02,105.69
111,2015-03,105.41
112,2015-04,102.78
113,2015-05,102.48
114,2015-06,103.08
115,2015-07,104.17
116,2015-08,104.11
117,2015-09,105.95
118,2015-10,106.80
119,2015-11,107.20
120,2015-12,107.24
121,2016-01,107.54
122,2016-02,107.42
123,2016-03,105.84
124,2016-04,104.67
125,2016-05,104.29
126,2016-06,104.08
127,2016-07,104.32
128,2016-08,103.94
129,2016-09,104.15
130,2016-10,104.01
131,2016-11,103.78
132,2016-12,104.31
133,2017-01,103.25
134,2017-02,102.53
135,2017-03,102.37
136,2017-04,102.87
137,2017-05,103.94
138,2017-06,104.46
139,2017-07,104.48
140,2017-08,105.37
141,2017-09,105.98
142,2017-10,107.36
143,2017-11,108.02
144,2017-12,108.39
145,2018-01,109.25
146,2018-02,109.27
147,2018-03,108.26
148,2018-04,107.45
149,2018-05,107.87
150,2018-06,108.57
151,2018-07,108.03
152,2018-08,108.94
153,2018-09,109.61
154,2018-10,109.77
155,2018-11,110.10
156,2018-12,110.90
157,2019-01,111.55
158,2019-02,111.42
159,2019-03,109.91
160,2019-04,109.69
161,2019-05,109.67
162,2019-06,109.52
163,2019-07,109.27
164,2019-08,110.18
165,2019-09,110.97
166,2019-10,111.36
167,2019-11,112.24
168,2019-12,112.36
